load_zone,timestamp,component,injects_or_withdraws,value
Chongqing,2025.04.11.20,EvChargePower,withdraws,-0.0
Chongqing,2025.05.22.00,ZoneTotalDistributedDispatch,injects,0.0
Chongqing,2025.05.22.00,InjectIntoDistributedGrid,injects,16167.264614281028
Chongqing,2025.05.22.00,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.05.22.00,EvDischargePower,injects,0.0
Chongqing,2025.05.22.00,zone_demand_mw,withdraws,-15381.9650955705
Chongqing,2025.05.22.00,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.05.22.00,EvChargePower,withdraws,-785.2995187105265
Chongqing,2025.05.22.04,ZoneTotalDistributedDispatch,injects,0.0
Chongqing,2025.05.22.04,InjectIntoDistributedGrid,injects,12405.9557983292
Chongqing,2025.05.22.04,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.05.22.04,EvDischargePower,injects,0.0
Chongqing,2025.05.22.04,zone_demand_mw,withdraws,-12405.9557983292
Chongqing,2025.05.22.04,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.05.22.04,EvChargePower,withdraws,-0.0
Chongqing,2025.05.22.08,ZoneTotalDistributedDispatch,injects,37.765476000000014
Chongqing,2025.05.22.08,InjectIntoDistributedGrid,injects,12827.5321417396
Chongqing,2025.05.22.08,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.05.22.08,EvDischargePower,injects,0.0
Chongqing,2025.05.22.08,zone_demand_mw,withdraws,-12863.5014922396
Chongqing,2025.05.22.08,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.05.22.08,EvChargePower,withdraws,-1.7961255
Chongqing,2025.05.22.12,ZoneTotalDistributedDispatch,injects,110.79081300000001
Chongqing,2025.05.22.12,InjectIntoDistributedGrid,injects,16012.976416268
Chongqing,2025.05.22.12,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.05.22.12,EvDischargePower,injects,0.0
Chongqing,2025.05.22.12,zone_demand_mw,withdraws,-16123.767229268
Chongqing,2025.05.22.12,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.05.22.12,EvChargePower,withdraws,-0.0
Chongqing,2025.05.22.16,ZoneTotalDistributedDispatch,injects,27.69002250000001
Chongqing,2025.05.22.16,InjectIntoDistributedGrid,injects,17198.208620606198
Chongqing,2025.05.22.16,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.05.22.16,EvDischargePower,injects,0.0
Chongqing,2025.05.22.16,zone_demand_mw,withdraws,-17225.8986431062
Chongqing,2025.05.22.16,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.05.22.16,EvChargePower,withdraws,-0.0
Chongqing,2025.05.22.20,ZoneTotalDistributedDispatch,injects,0.0
Chongqing,2025.05.22.20,InjectIntoDistributedGrid,injects,15759.334863751003
Chongqing,2025.05.22.20,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.05.22.20,EvDischargePower,injects,0.0
Chongqing,2025.05.22.20,zone_demand_mw,withdraws,-15759.334863751
Chongqing,2025.05.22.20,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.05.22.20,EvChargePower,withdraws,-0.0
Chongqing,2025.06.16.00,ZoneTotalDistributedDispatch,injects,0.0
Chongqing,2025.06.16.00,InjectIntoDistributedGrid,injects,16247.9134391784
Chongqing,2025.06.16.00,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.06.16.00,EvDischargePower,injects,0.0
Chongqing,2025.06.16.00,zone_demand_mw,withdraws,-16247.9134391784
Chongqing,2025.06.16.00,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.06.16.00,EvChargePower,withdraws,-0.0
Chongqing,2025.06.16.04,ZoneTotalDistributedDispatch,injects,0.0
Chongqing,2025.06.16.04,InjectIntoDistributedGrid,injects,13104.3657093964
Chongqing,2025.06.16.04,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.06.16.04,EvDischargePower,injects,0.0
Chongqing,2025.06.16.04,zone_demand_mw,withdraws,-13104.3657093964
Chongqing,2025.06.16.04,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.06.16.04,EvChargePower,withdraws,-0.0
Chongqing,2025.06.16.08,ZoneTotalDistributedDispatch,injects,57.51272100000001
Chongqing,2025.06.16.08,InjectIntoDistributedGrid,injects,13530.1568304566
Chongqing,2025.06.16.08,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.06.16.08,EvDischargePower,injects,0.0
Chongqing,2025.06.16.08,zone_demand_mw,withdraws,-13587.6695514566
Chongqing,2025.06.16.08,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.06.16.08,EvChargePower,withdraws,-0.0
Chongqing,2025.06.16.12,ZoneTotalDistributedDispatch,injects,167.67143400000003
Chongqing,2025.06.16.12,InjectIntoDistributedGrid,injects,16863.804884331403
Chongqing,2025.06.16.12,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.06.16.12,EvDischargePower,injects,0.0
Chongqing,2025.06.16.12,zone_demand_mw,withdraws,-17031.4763183314
Chongqing,2025.06.16.12,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.06.16.12,EvChargePower,withdraws,-0.0
Chongqing,2025.06.16.16,ZoneTotalDistributedDispatch,injects,113.41255800000003
Chongqing,2025.06.16.16,InjectIntoDistributedGrid,injects,18082.2411394492
Chongqing,2025.06.16.16,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.06.16.16,EvDischargePower,injects,0.0
Chongqing,2025.06.16.16,zone_demand_mw,withdraws,-18195.6536974492
Chongqing,2025.06.16.16,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.06.16.16,EvChargePower,withdraws,-0.0
Chongqing,2025.06.16.20,ZoneTotalDistributedDispatch,injects,0.0
Chongqing,2025.06.16.20,InjectIntoDistributedGrid,injects,17361.48749798321
Chongqing,2025.06.16.20,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.06.16.20,EvDischargePower,injects,0.0
Chongqing,2025.06.16.20,zone_demand_mw,withdraws,-16646.527744299
Chongqing,2025.06.16.20,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.06.16.20,EvChargePower,withdraws,-714.9597536842105
Chongqing,2025.07.22.00,ZoneTotalDistributedDispatch,injects,0.0
Chongqing,2025.07.22.00,InjectIntoDistributedGrid,injects,17477.662944684496
Chongqing,2025.07.22.00,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.07.22.00,EvDischargePower,injects,980.6951700000001
Chongqing,2025.07.22.00,zone_demand_mw,withdraws,-18458.3581146845
Chongqing,2025.07.22.00,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.07.22.00,EvChargePower,withdraws,-0.0
Chongqing,2025.07.22.04,ZoneTotalDistributedDispatch,injects,0.0
Chongqing,2025.07.22.04,InjectIntoDistributedGrid,injects,14958.991977995001
Chongqing,2025.07.22.04,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.07.22.04,EvDischargePower,injects,0.0
Chongqing,2025.07.22.04,zone_demand_mw,withdraws,-14887.146957995
Chongqing,2025.07.22.04,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.07.22.04,EvChargePower,withdraws,-71.84502
Chongqing,2025.07.22.08,ZoneTotalDistributedDispatch,injects,68.45113800000001
Chongqing,2025.07.22.08,InjectIntoDistributedGrid,injects,15369.5467781875
Chongqing,2025.07.22.08,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.07.22.08,EvDischargePower,injects,0.0
Chongqing,2025.07.22.08,zone_demand_mw,withdraws,-15436.2017906875
Chongqing,2025.07.22.08,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.07.22.08,EvChargePower,withdraws,-1.7961255000000005
Chongqing,2025.07.22.12,ZoneTotalDistributedDispatch,injects,143.05966500000002
Chongqing,2025.07.22.12,InjectIntoDistributedGrid,injects,19465.899207621595
Chongqing,2025.07.22.12,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.07.22.12,EvDischargePower,injects,0.0
Chongqing,2025.07.22.12,zone_demand_mw,withdraws,-19348.5206751216
Chongqing,2025.07.22.12,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.07.22.12,EvChargePower,withdraws,-260.4381975
Chongqing,2025.07.22.16,ZoneTotalDistributedDispatch,injects,89.48037000000001
Chongqing,2025.07.22.16,InjectIntoDistributedGrid,injects,21318.05238875497
Chongqing,2025.07.22.16,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.07.22.16,EvDischargePower,injects,0.0
Chongqing,2025.07.22.16,zone_demand_mw,withdraws,-20671.0783717275
Chongqing,2025.07.22.16,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.07.22.16,EvChargePower,withdraws,-736.454387027472
