load_zone,timestamp,ZoneTotalDistributedDispatch,InjectIntoDistributedGrid,StorageNetDisChargeforDis,EvDischargePower,zone_demand_mw,StorageNetChargeforDis,EvChargePower
Henan,2025.03.21.04,0.0,46887.1528404304,0.0,0.0,-46887.1528404304,-0.0,-0.0
Henan,2025.03.21.08,1244.4864493600003,47205.231418888005,0.0,0.0,-48449.717868248,-0.0,-0.0
Henan,2025.03.21.12,3140.833128720001,55338.9952056561,0.0,0.0,-58479.8283343761,-0.0,-0.0
Henan,2025.03.21.16,1782.2769490400005,56271.8673132567,0.0,0.0,-58054.1442622967,-0.0,-0.0
Henan,2025.03.21.20,0.0,55859.1265453311,0.0,0.0,-55859.1265453311,-0.0,-0.0
Henan,2025.04.11.00,0.0,51699.06001405939,0.0,0.0,-49709.9022477436,-0.0,-1989.1577663157893
Henan,2025.04.11.04,0.0,44885.3008000056,0.0,0.0,-44667.7091400056,-0.0,-217.59166
Henan,2025.04.11.08,2865.437715280001,43290.8710932198,0.0,0.0,-46156.3088084998,-0.0,-0.0
Henan,2025.04.11.12,4885.508489120001,50826.12688117549,0.0,0.0,-55711.6353702955,-0.0,-0.0
Henan,2025.04.11.16,1722.2146580800006,53583.886761755995,0.0,0.0,-55306.101419836,-0.0,-0.0
Henan,2025.04.11.20,0.0,53286.34272358759,0.0,0.0,-53214.9867541139,-0.0,-71.35596947368437
Henan,2025.05.22.00,0.0,52621.653327944885,0.0,0.0,-51209.9935774712,-0.0,-1411.6597504736842
Henan,2025.05.22.04,0.0,46015.64187365,0.0,0.0007800000000000001,-46015.64265365,-0.0,-0.0
Henan,2025.05.22.08,11698.978026400002,35855.62542796649,0.0,0.0,-47549.1636628665,-0.0,-5.439791499999999
Henan,2025.05.22.12,18995.796444800006,39185.813793086396,0.0,0.0,-57392.8404703864,-0.0,-788.7697675
Henan,2025.05.22.16,6406.959798400001,50568.1089593209,0.0,0.0,-56975.0687577209,-0.0,-0.0
Henan,2025.05.22.20,0.0,54820.8507094196,0.0,0.0,-54820.8507094196,-0.0,-0.0
Henan,2025.06.16.00,0.0,59927.90042120056,0.0,0.0,-59331.1755946737,-0.0,-596.7248265268572
Henan,2025.06.16.04,0.0,53313.073166303795,0.0,0.0007800000000000001,-53313.0739463038,-0.0,-0.0
Henan,2025.06.16.08,10117.346696800003,44977.88283258659,0.0,0.0,-55089.7897378866,-0.0,-5.439791499999999
Henan,2025.06.16.12,13668.501156800005,53614.803328306996,0.0,0.0,-66494.534717607,-0.0,-788.7697675
Henan,2025.06.16.16,3994.726960000001,62015.7833492629,0.0,0.0,-66010.5103092629,-0.0,-0.0
Henan,2025.06.16.20,0.0,64385.09770228815,0.0,0.0,-63514.6636909729,-0.0,-870.4340113152475
