SPINNING_RESERVE_GEN_TPS_1,SPINNING_RESERVE_GEN_TPS_2,CommitGenSpinningReservesUp
Beijing-Gas-2022,2025.02.08.08,0.0
Beijing-Gas-2022,2025.02.08.12,0.0
Beijing-Gas-2022,2025.02.08.16,0.0
Beijing-Gas-2022,2025.02.08.20,0.0
Beijing-Gas-2022,2025.03.21.00,0.0
Beijing-Gas-2022,2025.03.21.04,0.0
Beijing-Gas-2022,2025.03.21.08,0.0
Beijing-Gas-2022,2025.03.21.12,0.0
Beijing-Gas-2022,2025.03.21.16,0.0
Beijing-Gas-2022,2025.03.21.20,0.0
Beijing-Gas-2022,2025.04.11.00,0.0
Beijing-Gas-2022,2025.04.11.04,0.0
Beijing-Gas-2022,2025.04.11.08,0.0
Beijing-Gas-2022,2025.04.11.12,0.0
Beijing-Gas-2022,2025.04.11.16,0.0
Beijing-Gas-2022,2025.04.11.20,0.0
Beijing-Gas-2022,2025.05.22.00,0.0
Beijing-Gas-2022,2025.05.22.04,0.0
Beijing-Gas-2022,2025.05.22.08,0.0
Beijing-Gas-2022,2025.05.22.12,0.0
Beijing-Gas-2022,2025.05.22.16,0.0
Beijing-Gas-2022,2025.05.22.20,0.0
Beijing-Gas-2022,2025.06.16.00,0.0
Beijing-Gas-2022,2025.06.16.04,0.0
Beijing-Gas-2022,2025.06.16.08,0.0
Beijing-Gas-2022,2025.06.16.12,0.0
Beijing-Gas-2022,2025.06.16.16,0.0
Beijing-Gas-2022,2025.06.16.20,0.0
Beijing-Gas-2022,2025.07.22.00,0.0
Beijing-Gas-2022,2025.07.22.04,0.0
Beijing-Gas-2022,2025.07.22.08,0.0
Beijing-Gas-2022,2025.07.22.12,3019.899695577645
Beijing-Gas-2022,2025.07.22.16,0.0
Beijing-Gas-2022,2025.07.22.20,0.0
Beijing-Gas-2022,2025.08.19.00,0.0
Beijing-Gas-2022,2025.08.19.04,0.0
Beijing-Gas-2022,2025.08.19.08,0.0
Beijing-Gas-2022,2025.08.19.12,0.0
Beijing-Gas-2022,2025.08.19.16,0.0
Beijing-Gas-2022,2025.08.19.20,0.0
Beijing-Gas-2022,2025.09.20.00,0.0
Beijing-Gas-2022,2025.09.20.04,0.0
Beijing-Gas-2022,2025.09.20.08,0.0
Beijing-Gas-2022,2025.09.20.12,0.0
Beijing-Gas-2022,2025.09.20.16,0.0
Beijing-Gas-2022,2025.09.20.20,0.0
Beijing-Gas-2022,2025.10.26.00,0.0
Beijing-Gas-2022,2025.10.26.04,0.0
Beijing-Gas-2022,2025.10.26.08,0.0
Beijing-Gas-2022,2025.10.26.12,0.0
Beijing-Gas-2022,2025.10.26.16,0.0
Beijing-Gas-2022,2025.10.26.20,0.0
Beijing-Gas-2022,2025.11.19.00,0.0
Beijing-Gas-2022,2025.11.19.04,0.0
Beijing-Gas-2022,2025.11.19.08,0.0
Beijing-Gas-2022,2025.11.19.12,0.0
Beijing-Gas-2022,2025.11.19.16,0.0
Beijing-Gas-2022,2025.11.19.20,0.0
Beijing-Gas-2022,2025.12.16.00,0.0
Beijing-Gas-2022,2025.12.16.04,0.0
Beijing-Gas-2022,2025.12.16.08,0.0
Beijing-Gas-2022,2025.12.16.12,0.0
Beijing-Gas-2022,2025.12.16.16,0.0
Beijing-Gas-2022,2025.12.16.20,7640.500634361966
Chongqing-Coal-2022,2025.01.22.00,0.0
Chongqing-Coal-2022,2025.01.22.04,0.0
Chongqing-Coal-2022,2025.01.22.08,0.0
Chongqing-Coal-2022,2025.01.22.12,0.0
Chongqing-Coal-2022,2025.01.22.16,0.0
Chongqing-Coal-2022,2025.01.22.20,0.0
Chongqing-Coal-2022,2025.02.08.00,0.0
Chongqing-Coal-2022,2025.02.08.04,0.0
Chongqing-Coal-2022,2025.02.08.08,124.89153242188695
Chongqing-Coal-2022,2025.02.08.12,2771.5915324218877
Chongqing-Coal-2022,2025.02.08.16,2259.068484617974
Chongqing-Coal-2022,2025.02.08.20,0.0
Chongqing-Coal-2022,2025.03.21.00,0.0
Chongqing-Coal-2022,2025.03.21.04,0.0
Chongqing-Coal-2022,2025.03.21.08,0.0
Chongqing-Coal-2022,2025.03.21.12,0.0
Chongqing-Coal-2022,2025.03.21.16,0.0
Chongqing-Coal-2022,2025.03.21.20,0.0
Chongqing-Coal-2022,2025.04.11.00,0.0
Chongqing-Coal-2022,2025.04.11.04,0.0
Chongqing-Coal-2022,2025.04.11.08,0.0
Chongqing-Coal-2022,2025.04.11.12,0.0
Chongqing-Coal-2022,2025.04.11.16,0.0
Chongqing-Coal-2022,2025.04.11.20,0.0
Chongqing-Coal-2022,2025.05.22.00,0.0
Chongqing-Coal-2022,2025.05.22.04,0.0
Chongqing-Coal-2022,2025.05.22.08,87.69932952194858
Chongqing-Coal-2022,2025.05.22.12,7675.43
Chongqing-Coal-2022,2025.05.22.16,0.0
Chongqing-Coal-2022,2025.05.22.20,3591.776271714498
Chongqing-Coal-2022,2025.06.16.00,6679.84462991475
Chongqing-Coal-2022,2025.06.16.04,4525.056039619669
Chongqing-Coal-2022,2025.06.16.08,7310.035281654722
Chongqing-Coal-2022,2025.06.16.12,0.0
Chongqing-Coal-2022,2025.06.16.16,1075.1807902060968
Chongqing-Coal-2022,2025.06.16.20,6092.976430091129
Chongqing-Coal-2022,2025.07.22.00,3615.603014199218
Chongqing-Coal-2022,2025.07.22.04,2449.2794612317284
Chongqing-Coal-2022,2025.07.22.08,2196.035054612533
Chongqing-Coal-2022,2025.07.22.12,4192.430558805745
Chongqing-Coal-2022,2025.07.22.16,0.0
Chongqing-Coal-2022,2025.07.22.20,5337.318735246464
Chongqing-Coal-2022,2025.08.19.00,0.0
Chongqing-Coal-2022,2025.08.19.04,6028.186415932763
Chongqing-Coal-2022,2025.08.19.08,4588.617514278256
Chongqing-Coal-2022,2025.08.19.12,7647.13159987349
Chongqing-Coal-2022,2025.08.19.16,3366.152200016826
Chongqing-Coal-2022,2025.08.19.20,0.0
Chongqing-Coal-2022,2025.09.20.00,3202.7151756657163
Chongqing-Coal-2022,2025.09.20.04,2169.581248031614
Chongqing-Coal-2022,2025.09.20.08,0.0
Chongqing-Coal-2022,2025.09.20.12,3588.6644930013763
Chongqing-Coal-2022,2025.09.20.16,6851.086759366263
Chongqing-Coal-2022,2025.09.20.20,4727.8176402684385
Chongqing-Coal-2022,2025.10.26.00,0.0
Chongqing-Coal-2022,2025.10.26.04,0.0
Chongqing-Coal-2022,2025.10.26.08,0.0
Chongqing-Coal-2022,2025.10.26.12,3350.39600292007
Chongqing-Coal-2022,2025.10.26.16,2825.1982510056077
Chongqing-Coal-2022,2025.10.26.20,0.0
Chongqing-Coal-2022,2025.11.19.00,4872.512177104019
Chongqing-Coal-2022,2025.11.19.04,0.0
Chongqing-Coal-2022,2025.11.19.08,5227.0233904787965
Chongqing-Coal-2022,2025.11.19.12,2580.323390478796
Chongqing-Coal-2022,2025.11.19.16,24.27461252482317
Chongqing-Coal-2022,2025.11.19.20,0.0
Chongqing-Coal-2022,2025.12.16.00,0.0
Chongqing-Coal-2022,2025.12.16.04,2646.7000000000007
Chongqing-Coal-2022,2025.12.16.08,0.0
Chongqing-Coal-2022,2025.12.16.12,2582.159469571623
Chongqing-Coal-2022,2025.12.16.16,0.0
Chongqing-Coal-2022,2025.12.16.20,0.0
Chongqing-Gas-2022,2025.01.22.00,0.0
Chongqing-Gas-2022,2025.01.22.04,0.0
Chongqing-Gas-2022,2025.01.22.08,0.0
Chongqing-Gas-2022,2025.01.22.12,0.0
Chongqing-Gas-2022,2025.01.22.16,0.0
Chongqing-Gas-2022,2025.01.22.20,0.0
Chongqing-Gas-2022,2025.02.08.00,0.0
Chongqing-Gas-2022,2025.02.08.04,0.0
Chongqing-Gas-2022,2025.02.08.08,0.0
Chongqing-Gas-2022,2025.02.08.12,0.0
Chongqing-Gas-2022,2025.02.08.16,0.0
Chongqing-Gas-2022,2025.02.08.20,0.0
Chongqing-Gas-2022,2025.03.21.00,0.0
Chongqing-Gas-2022,2025.03.21.04,0.0
Chongqing-Gas-2022,2025.03.21.08,0.0
Chongqing-Gas-2022,2025.03.21.12,0.0
Chongqing-Gas-2022,2025.03.21.16,0.0
Chongqing-Gas-2022,2025.03.21.20,0.0
Chongqing-Gas-2022,2025.04.11.00,0.0
Chongqing-Gas-2022,2025.04.11.04,0.0
Chongqing-Gas-2022,2025.04.11.08,0.0
Chongqing-Gas-2022,2025.04.11.12,0.0
Chongqing-Gas-2022,2025.04.11.16,0.0
Chongqing-Gas-2022,2025.04.11.20,0.0
Chongqing-Gas-2022,2025.05.22.00,0.0
Chongqing-Gas-2022,2025.05.22.04,0.0
Chongqing-Gas-2022,2025.05.22.08,0.0
Chongqing-Gas-2022,2025.05.22.12,0.0
Chongqing-Gas-2022,2025.05.22.16,0.0
Chongqing-Gas-2022,2025.05.22.20,0.0
Chongqing-Gas-2022,2025.06.16.00,0.0
Chongqing-Gas-2022,2025.06.16.04,0.0
Chongqing-Gas-2022,2025.06.16.08,0.0
Chongqing-Gas-2022,2025.06.16.12,0.0
Chongqing-Gas-2022,2025.06.16.16,0.0
Chongqing-Gas-2022,2025.06.16.20,0.0
Chongqing-Gas-2022,2025.07.22.00,0.0
Chongqing-Gas-2022,2025.07.22.04,0.0
Chongqing-Gas-2022,2025.07.22.08,0.0
Chongqing-Gas-2022,2025.07.22.12,0.0
Chongqing-Gas-2022,2025.07.22.16,0.0
Chongqing-Gas-2022,2025.07.22.20,0.0
Chongqing-Gas-2022,2025.08.19.00,0.0
Chongqing-Gas-2022,2025.08.19.04,0.0
Chongqing-Gas-2022,2025.08.19.08,0.0
Chongqing-Gas-2022,2025.08.19.12,0.0
Chongqing-Gas-2022,2025.08.19.16,0.0
Chongqing-Gas-2022,2025.08.19.20,0.0
Chongqing-Gas-2022,2025.09.20.00,0.0
Chongqing-Gas-2022,2025.09.20.04,0.0
Chongqing-Gas-2022,2025.09.20.08,0.0
Chongqing-Gas-2022,2025.09.20.12,0.0
Chongqing-Gas-2022,2025.09.20.16,0.0
Chongqing-Gas-2022,2025.09.20.20,0.0
Chongqing-Gas-2022,2025.10.26.00,0.0
Chongqing-Gas-2022,2025.10.26.04,0.0
Chongqing-Gas-2022,2025.10.26.08,0.0
Chongqing-Gas-2022,2025.10.26.12,0.0
Chongqing-Gas-2022,2025.10.26.16,0.0
Chongqing-Gas-2022,2025.10.26.20,0.0
Chongqing-Gas-2022,2025.11.19.00,0.0
Chongqing-Gas-2022,2025.11.19.04,0.0
Chongqing-Gas-2022,2025.11.19.08,0.0
Chongqing-Gas-2022,2025.11.19.12,0.0
Chongqing-Gas-2022,2025.11.19.16,0.0
Chongqing-Gas-2022,2025.11.19.20,0.0
Chongqing-Gas-2022,2025.12.16.00,0.0
Chongqing-Gas-2022,2025.12.16.04,0.0
Chongqing-Gas-2022,2025.12.16.08,0.0
Chongqing-Gas-2022,2025.12.16.12,0.0
Chongqing-Gas-2022,2025.12.16.16,0.0
Chongqing-Gas-2022,2025.12.16.20,0.0
East_Inner_Mongolia-Coal-2022,2025.01.22.00,0.0
East_Inner_Mongolia-Coal-2022,2025.01.22.04,0.0
East_Inner_Mongolia-Coal-2022,2025.01.22.08,0.0
East_Inner_Mongolia-Coal-2022,2025.01.22.12,0.0
East_Inner_Mongolia-Coal-2022,2025.01.22.16,5053.1958853716915
East_Inner_Mongolia-Coal-2022,2025.01.22.20,5667.745025872813
East_Inner_Mongolia-Coal-2022,2025.02.08.00,0.0
East_Inner_Mongolia-Coal-2022,2025.02.08.04,0.0
