ELECRRIC_VEHICLE_TIMEPOINTS_1,ELECRRIC_VEHICLE_TIMEPOINTS_2,ChargingPower
Hunan-Ev,2025.05.22.08,2.3594415
Hunan-Ev,2025.05.22.12,342.11901750000004
Hunan-Ev,2025.05.22.16,214.21245197368413
Hunan-Ev,2025.05.22.20,0.0
Hunan-Ev,2025.06.16.00,26.381365186840412
Hunan-Ev,2025.06.16.04,94.37766
Hunan-Ev,2025.06.16.08,2.3594415
Hunan-Ev,2025.06.16.12,0.0
Hunan-Ev,2025.06.16.16,1770.5798776598865
Hunan-Ev,2025.06.16.20,0.0
Hunan-Ev,2025.07.22.00,447.43416947368394
Hunan-Ev,2025.07.22.04,0.0
Hunan-Ev,2025.07.22.08,0.0
Hunan-Ev,2025.07.22.12,0.0
Hunan-Ev,2025.07.22.16,420.30536842105266
Hunan-Ev,2025.07.22.20,154.7487947368422
Hunan-Ev,2025.08.19.00,406.08744868421076
Hunan-Ev,2025.08.19.04,94.37766
Hunan-Ev,2025.08.19.08,0.0
Hunan-Ev,2025.08.19.12,0.0
Hunan-Ev,2025.08.19.16,2335.847085
Hunan-Ev,2025.08.19.20,0.0
Hunan-Ev,2025.09.20.00,0.0
Hunan-Ev,2025.09.20.04,94.37766
Hunan-Ev,2025.09.20.08,2.3594415
Hunan-Ev,2025.09.20.12,264.7923821052632
Hunan-Ev,2025.09.20.16,818.764410078947
Hunan-Ev,2025.09.20.20,0.0
Hunan-Ev,2025.10.26.00,314.63677784210483
Hunan-Ev,2025.10.26.04,0.0
Hunan-Ev,2025.10.26.08,2.3594415
Hunan-Ev,2025.10.26.12,342.1190175000001
Hunan-Ev,2025.10.26.16,0.0
Hunan-Ev,2025.10.26.20,0.0
Hunan-Ev,2025.11.19.00,0.0
Hunan-Ev,2025.11.19.04,0.0
Hunan-Ev,2025.11.19.08,0.0
Hunan-Ev,2025.11.19.12,0.0
Hunan-Ev,2025.11.19.16,0.0
Hunan-Ev,2025.11.19.20,326.30980421052635
Hunan-Ev,2025.12.16.00,544.8017290263157
Hunan-Ev,2025.12.16.04,94.37766
Hunan-Ev,2025.12.16.08,2.3594415
Hunan-Ev,2025.12.16.12,342.1190175000001
Hunan-Ev,2025.12.16.16,236.75610355263152
Hunan-Ev,2025.12.16.20,0.0
Jiangxi-Ev,2025.01.22.00,186.174567
Jiangxi-Ev,2025.01.22.04,61.24612
Jiangxi-Ev,2025.01.22.08,1.531153
Jiangxi-Ev,2025.01.22.12,76.37167999999998
Jiangxi-Ev,2025.01.22.16,265.56515999999993
Jiangxi-Ev,2025.01.22.20,0.0
Jiangxi-Ev,2025.02.08.00,127.1600870000001
Jiangxi-Ev,2025.02.08.04,0.0
Jiangxi-Ev,2025.02.08.08,1.531153
Jiangxi-Ev,2025.02.08.12,222.01718499999998
Jiangxi-Ev,2025.02.08.16,62.8888550000001
Jiangxi-Ev,2025.02.08.20,0.0
Jiangxi-Ev,2025.03.21.00,219.55618199999984
Jiangxi-Ev,2025.03.21.04,61.24612
Jiangxi-Ev,2025.03.21.08,1.531153
Jiangxi-Ev,2025.03.21.12,222.01718499999998
Jiangxi-Ev,2025.03.21.16,0.0
Jiangxi-Ev,2025.03.21.20,60.25428000000003
Jiangxi-Ev,2025.04.11.00,0.0
Jiangxi-Ev,2025.04.11.04,61.24612
Jiangxi-Ev,2025.04.11.08,0.0
