TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Xinjiang,Henan,2025.02.08.00,14400.0
Xinjiang,Henan,2025.02.08.04,12767.4995913921
Xinjiang,Henan,2025.02.08.08,14400.0
Xinjiang,Henan,2025.02.08.12,14400.0
Xinjiang,Henan,2025.02.08.16,14400.0
Xinjiang,Henan,2025.02.08.20,14400.0
Xinjiang,Henan,2025.03.21.00,14400.0
Xinjiang,Henan,2025.03.21.04,10944.446660493186
Xinjiang,Henan,2025.03.21.08,14400.0
Xinjiang,Henan,2025.03.21.12,14400.0
Xinjiang,Henan,2025.03.21.16,14400.0
Xinjiang,Henan,2025.03.21.20,14400.0
Xinjiang,Henan,2025.04.11.00,14400.0
Xinjiang,Henan,2025.04.11.04,9897.779938607395
Xinjiang,Henan,2025.04.11.08,10599.788164779067
Xinjiang,Henan,2025.04.11.12,14400.0
Xinjiang,Henan,2025.04.11.16,14400.0
Xinjiang,Henan,2025.04.11.20,14400.0
Xinjiang,Henan,2025.05.22.00,10035.61825996659
Xinjiang,Henan,2025.05.22.04,7586.0160228306695
Xinjiang,Henan,2025.05.22.08,8309.208689241814
Xinjiang,Henan,2025.05.22.12,12951.384984796443
Xinjiang,Henan,2025.05.22.16,14400.0
Xinjiang,Henan,2025.05.22.20,14109.458989089322
Xinjiang,Henan,2025.06.16.00,14400.000000001
Xinjiang,Henan,2025.06.16.04,11027.409236727852
Xinjiang,Henan,2025.06.16.08,11865.29005025908
Xinjiang,Henan,2025.06.16.12,14400.000000001
Xinjiang,Henan,2025.06.16.16,14400.0
Xinjiang,Henan,2025.06.16.20,14400.0
Xinjiang,Henan,2025.07.22.00,14400.0
Xinjiang,Henan,2025.07.22.04,12040.305013768886
Xinjiang,Henan,2025.07.22.08,14400.0
Xinjiang,Henan,2025.07.22.12,14400.0
Xinjiang,Henan,2025.07.22.16,14400.0
Xinjiang,Henan,2025.07.22.20,14400.0
Xinjiang,Henan,2025.08.19.00,14400.0
Xinjiang,Henan,2025.08.19.04,9492.13929722691
Xinjiang,Henan,2025.08.19.08,10374.215213955305
Xinjiang,Henan,2025.08.19.12,14127.67665
Xinjiang,Henan,2025.08.19.16,14400.0
Xinjiang,Henan,2025.08.19.20,14400.0
Xinjiang,Henan,2025.09.20.00,9695.68822405464
Xinjiang,Henan,2025.09.20.04,4343.750792467686
Xinjiang,Henan,2025.09.20.08,6771.464546437727
Xinjiang,Henan,2025.09.20.12,14400.0
Xinjiang,Henan,2025.09.20.16,14400.0
Xinjiang,Henan,2025.09.20.20,12538.883939265184
Xinjiang,Henan,2025.10.26.00,5070.221950270185
Xinjiang,Henan,2025.10.26.04,2834.031866326566
Xinjiang,Henan,2025.10.26.08,3494.2191591416836
Xinjiang,Henan,2025.10.26.12,7731.963737694066
Xinjiang,Henan,2025.10.26.16,13379.37877541193
Xinjiang,Henan,2025.10.26.20,6628.3068645388375
Xinjiang,Henan,2025.11.19.00,14400.0
Xinjiang,Henan,2025.11.19.04,12759.148676346842
Xinjiang,Henan,2025.11.19.08,14400.0
Xinjiang,Henan,2025.11.19.12,14400.0
Xinjiang,Henan,2025.11.19.16,14400.0
Xinjiang,Henan,2025.11.19.20,14400.0
Xinjiang,Henan,2025.12.16.00,14400.0
