BALANCING_AREA,timepoints,NREL35VarGenSpinningReserveRequirement,CommittedSpinningReserveUp
North_West_Grid,2025.03.21.12,16317.1,16317.1
North_West_Grid,2025.03.21.16,15506.7,15506.7
North_West_Grid,2025.03.21.20,11038.5,11038.5
North_West_Grid,2025.04.11.00,9732.45,9732.45
North_West_Grid,2025.04.11.04,9280.45,9280.45
North_West_Grid,2025.04.11.08,10897.4,10897.4
North_West_Grid,2025.04.11.12,14604.8,14604.8
North_West_Grid,2025.04.11.16,15116.5,15116.5
North_West_Grid,2025.04.11.20,11044.5,11044.5
North_West_Grid,2025.05.22.00,9486.51,9486.51
North_West_Grid,2025.05.22.04,8635.04,8635.04
North_West_Grid,2025.05.22.08,12316.3,12316.3
North_West_Grid,2025.05.22.12,16029.8,16029.8
North_West_Grid,2025.05.22.16,15185.5,15185.5
North_West_Grid,2025.05.22.20,9880.71,9880.71
North_West_Grid,2025.06.16.00,9278.25,9278.25
North_West_Grid,2025.06.16.04,8439.07,8439.07
North_West_Grid,2025.06.16.08,11506.5,11506.5
North_West_Grid,2025.06.16.12,16014.7,16014.7
North_West_Grid,2025.06.16.16,15334.7,15334.7
North_West_Grid,2025.06.16.20,11093.5,11093.5
North_West_Grid,2025.07.22.00,9669.5,9669.5
North_West_Grid,2025.07.22.04,8836.67,8836.67
North_West_Grid,2025.07.22.08,12946.1,12946.1
North_West_Grid,2025.07.22.12,16411.3,16411.3
North_West_Grid,2025.07.22.16,16583.2,16583.2
North_West_Grid,2025.07.22.20,10829,10829
North_West_Grid,2025.08.19.00,10098.1,10098.1
North_West_Grid,2025.08.19.04,9342.75,9342.75
North_West_Grid,2025.08.19.08,12327,12327
North_West_Grid,2025.08.19.12,15576.9,15576.9
North_West_Grid,2025.08.19.16,14768.6,14768.6
North_West_Grid,2025.08.19.20,10430.3,10430.3
North_West_Grid,2025.09.20.00,9412.28,9412.28
North_West_Grid,2025.09.20.04,8966,8966
North_West_Grid,2025.09.20.08,11845.4,11845.4
North_West_Grid,2025.09.20.12,14879.7,14879.7
North_West_Grid,2025.09.20.16,15544.5,15544.5
North_West_Grid,2025.09.20.20,12159.5,12159.5
North_West_Grid,2025.10.26.00,10648,10648
North_West_Grid,2025.10.26.04,9638.07,9638.07
North_West_Grid,2025.10.26.08,11615.5,11615.5
North_West_Grid,2025.10.26.12,14566.2,14566.2
North_West_Grid,2025.10.26.16,14510.3,14510.3
North_West_Grid,2025.10.26.20,10603.3,10603.3
North_West_Grid,2025.11.19.00,10741.9,10741.9
North_West_Grid,2025.11.19.04,9959.92,9959.92
North_West_Grid,2025.11.19.08,12081.5,12081.5
North_West_Grid,2025.11.19.12,16088.1,16088.1
North_West_Grid,2025.11.19.16,15236.5,15236.5
North_West_Grid,2025.11.19.20,11196.4,11196.4
North_West_Grid,2025.12.16.00,14661,14661
North_West_Grid,2025.12.16.04,13953.7,13953.7
North_West_Grid,2025.12.16.08,15089.3,15089.3
North_West_Grid,2025.12.16.12,20116.9,20116.9
North_West_Grid,2025.12.16.16,20147.9,20147.9
North_West_Grid,2025.12.16.20,16470.6,16470.6
Southern_Power,2025.01.22.00,14910.3,14910.3
Southern_Power,2025.01.22.04,12525.5,12525.5
Southern_Power,2025.01.22.08,17442.2,17442.2
Southern_Power,2025.01.22.12,28547.6,28547.6
Southern_Power,2025.01.22.16,28169.6,28169.6
Southern_Power,2025.01.22.20,17282.3,17282.3
Southern_Power,2025.02.08.00,12132.7,12132.7
Southern_Power,2025.02.08.04,10841.3,10841.3
Southern_Power,2025.02.08.08,18371.8,18371.8
Southern_Power,2025.02.08.12,27477.1,27477.1
Southern_Power,2025.02.08.16,28137.1,28137.1
Southern_Power,2025.02.08.20,15242.7,15242.7
Southern_Power,2025.03.21.00,17255.9,17255.9
Southern_Power,2025.03.21.04,15843.3,15843.3
Southern_Power,2025.03.21.08,22944.5,22944.5
Southern_Power,2025.03.21.12,30391.1,30391.1
Southern_Power,2025.03.21.16,26173.6,26173.6
Southern_Power,2025.03.21.20,18700.2,18700.2
Southern_Power,2025.04.11.00,16586.7,16586.7
Southern_Power,2025.04.11.04,14431.9,14431.9
Southern_Power,2025.04.11.08,22439.4,22439.4
Southern_Power,2025.04.11.12,29566.1,29566.1
Southern_Power,2025.04.11.16,26465.8,26465.8
Southern_Power,2025.04.11.20,18668.6,18668.6
Southern_Power,2025.05.22.00,16264.3,16264.3
Southern_Power,2025.05.22.04,14191.4,14191.4
Southern_Power,2025.05.22.08,27235.7,27235.7
Southern_Power,2025.05.22.12,33890.2,33890.2
Southern_Power,2025.05.22.16,31867.7,31867.7
Southern_Power,2025.05.22.20,18804.3,18804.3
Southern_Power,2025.06.16.00,17545.9,17545.9
Southern_Power,2025.06.16.04,15072.5,15072.5
Southern_Power,2025.06.16.08,21284.4,21284.4
Southern_Power,2025.06.16.12,25437,25437
Southern_Power,2025.06.16.16,24964.4,24964.4
Southern_Power,2025.06.16.20,20481.9,20481.9
Southern_Power,2025.07.22.00,18363.4,18363.4
Southern_Power,2025.07.22.04,15516.9,15516.9
Southern_Power,2025.07.22.08,19586.8,19586.8
Southern_Power,2025.07.22.12,25341.8,25341.8
Southern_Power,2025.07.22.16,24409.3,24409.3
Southern_Power,2025.07.22.20,20388.8,20388.8
Southern_Power,2025.08.19.00,18612.7,18612.7
Southern_Power,2025.08.19.04,15883.1,15883.1
Southern_Power,2025.08.19.08,22651.3,22651.3
Southern_Power,2025.08.19.12,26386.5,26386.5
Southern_Power,2025.08.19.16,23196.3,23196.3
Southern_Power,2025.08.19.20,21317.4,21317.4
Southern_Power,2025.09.20.00,18334.7,18334.7
Southern_Power,2025.09.20.04,15804,15804
Southern_Power,2025.09.20.08,23180.8,23180.8
Southern_Power,2025.09.20.12,32522.6,32522.6
Southern_Power,2025.09.20.16,30735,30735
Southern_Power,2025.09.20.20,20597.6,20597.6
Southern_Power,2025.10.26.00,17515.8,17515.8
Southern_Power,2025.10.26.04,14881,14881
Southern_Power,2025.10.26.08,24496.5,24496.5
Southern_Power,2025.10.26.12,32494.4,32494.4
Southern_Power,2025.10.26.16,29157.8,29157.8
Southern_Power,2025.10.26.20,19745.8,19745.8
Southern_Power,2025.11.19.00,18083.4,18083.4
Southern_Power,2025.11.19.04,15978.7,15978.7
Southern_Power,2025.11.19.08,21498.3,21498.3
Southern_Power,2025.11.19.12,28799.3,28799.3
Southern_Power,2025.11.19.16,26704.8,26704.8
Southern_Power,2025.11.19.20,21205.3,21205.3
Southern_Power,2025.12.16.00,18236.1,18236.1
Southern_Power,2025.12.16.04,16045.2,16045.2
