ELECRRIC_VEHICLE,timepoint_id,ev_max_power_mw,ev_driving_power
Hunan-Ev,2025.10.26.00,1288.255059,5.807856
Hunan-Ev,2025.10.26.04,94.37766,5.444865
Hunan-Ev,2025.10.26.08,2.3594415,419.25460499999997
Hunan-Ev,2025.10.26.12,342.11901750000004,195.652149
Hunan-Ev,2025.10.26.16,2335.847085,0.0
Hunan-Ev,2025.10.26.20,1741.2678270000001,0.0
Hunan-Ev,2025.11.19.00,1288.255059,11.615712
Hunan-Ev,2025.11.19.04,94.37766,6.533837999999999
Hunan-Ev,2025.11.19.08,2.3594415,119.78703
Hunan-Ev,2025.11.19.12,342.11901750000004,83.850921
Hunan-Ev,2025.11.19.16,2335.847085,0.0
Hunan-Ev,2025.11.19.20,1741.2678270000001,88.206813
Hunan-Ev,2025.12.16.00,1288.255059,2.903928
Hunan-Ev,2025.12.16.04,94.37766,7.622811
Hunan-Ev,2025.12.16.08,2.3594415,598.93515
Hunan-Ev,2025.12.16.12,342.11901750000004,251.552763
Hunan-Ev,2025.12.16.16,2335.847085,239.57406
Hunan-Ev,2025.12.16.20,1741.2678270000001,58.804542
Jiangxi-Ev,2025.01.22.00,836.009538,1.8844960000000002
Jiangxi-Ev,2025.01.22.04,61.24612,1.413372
Jiangxi-Ev,2025.01.22.08,1.531153,233.20638
Jiangxi-Ev,2025.01.22.12,222.01718499999998,72.55309600000001
Jiangxi-Ev,2025.01.22.16,1515.84147,233.20638
Jiangxi-Ev,2025.01.22.20,1129.990914,19.080522000000002
Jiangxi-Ev,2025.02.08.00,836.009538,5.653488
Jiangxi-Ev,2025.02.08.04,61.24612,0.0
Jiangxi-Ev,2025.02.08.08,1.531153,116.60319
Jiangxi-Ev,2025.02.08.12,222.01718499999998,90.69137
Jiangxi-Ev,2025.02.08.16,1515.84147,103.64728
Jiangxi-Ev,2025.02.08.20,1129.990914,76.32208800000001
Jiangxi-Ev,2025.03.21.00,836.009538,1.8844960000000002
Jiangxi-Ev,2025.03.21.04,61.24612,5.653488
Jiangxi-Ev,2025.03.21.08,1.531153,194.33865000000003
Jiangxi-Ev,2025.03.21.12,222.01718499999998,18.138274000000003
Jiangxi-Ev,2025.03.21.16,1515.84147,259.1182
Jiangxi-Ev,2025.03.21.20,1129.990914,57.241566000000006
Jiangxi-Ev,2025.04.11.00,836.009538,3.7689920000000003
Jiangxi-Ev,2025.04.11.04,61.24612,6.360174
