GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Anhui-PV-2022,2025.11.19.12,0.21199304285714285
Anhui-PV-2022,2025.11.19.16,0.01191688
Anhui-PV-2022,2025.11.19.20,0.0
Anhui-PV-2022,2025.12.16.00,0.0
Anhui-PV-2022,2025.12.16.04,0.0
Anhui-PV-2022,2025.12.16.08,0.24725442857142857
Anhui-PV-2022,2025.12.16.12,0.657216
Anhui-PV-2022,2025.12.16.16,0.06733745714285715
Anhui-PV-2022,2025.12.16.20,0.0
Anhui-Wind-2022,2025.01.22.00,0.125037
Anhui-Wind-2022,2025.01.22.04,0.10514
Anhui-Wind-2022,2025.01.22.08,0.093829
Anhui-Wind-2022,2025.01.22.12,0.135648
Anhui-Wind-2022,2025.01.22.16,0.206553
Anhui-Wind-2022,2025.01.22.20,0.215727
Anhui-Wind-2022,2025.02.08.00,0.18626
Anhui-Wind-2022,2025.02.08.04,0.259542
Anhui-Wind-2022,2025.02.08.08,0.21320400000000003
Anhui-Wind-2022,2025.02.08.12,0.17712399999999998
Anhui-Wind-2022,2025.02.08.16,0.151986
Anhui-Wind-2022,2025.02.08.20,0.0947803
Anhui-Wind-2022,2025.03.21.00,0.197511
Anhui-Wind-2022,2025.03.21.04,0.217823
Anhui-Wind-2022,2025.03.21.08,0.22192200000000004
Anhui-Wind-2022,2025.03.21.12,0.230233
Anhui-Wind-2022,2025.03.21.16,0.18575700000000003
Anhui-Wind-2022,2025.03.21.20,0.0703394
Anhui-Wind-2022,2025.04.11.00,0.146977
Anhui-Wind-2022,2025.04.11.04,0.181524
Anhui-Wind-2022,2025.04.11.08,0.160032
Anhui-Wind-2022,2025.04.11.12,0.185493
Anhui-Wind-2022,2025.04.11.16,0.198144
Anhui-Wind-2022,2025.04.11.20,0.143222
Anhui-Wind-2022,2025.05.22.00,0.0744575
Anhui-Wind-2022,2025.05.22.04,0.0782936
Anhui-Wind-2022,2025.05.22.08,0.0497053
