load_zone,TIMEPOINT,zone_demand_mw
Shanxi,2025.02.08.04,68393.058215891
Sichuan,2025.02.08.04,50902.4990874318
Tianjin,2025.02.08.04,22236.5535427516
Tibet,2025.02.08.04,865.618050499758
West_Inner_Mongolia,2025.02.08.04,56973.2807467888
Xinjiang,2025.02.08.04,39240.6671072086
Yunnan,2025.02.08.04,26930.1406876318
Zhejiang,2025.02.08.04,69150.517037112
Anhui,2025.02.08.08,42960.9027011082
Beijing,2025.02.08.08,28516.066890581
Chongqing,2025.02.08.08,24369.1878734472
East_Inner_Mongolia,2025.02.08.08,22552.149947422
Fujian,2025.02.08.08,40901.750839086
Gansu,2025.02.08.08,36382.5021146474
Guangdong,2025.02.08.08,95564.3094338034
Guangxi,2025.02.08.08,37099.1352145518
Guizhou,2025.02.08.08,41264.3477354486
Hainan,2025.02.08.08,6981.86470956264
Hebei,2025.02.08.08,131951.0077456466
Heilongjiang,2025.02.08.08,34231.4621929374
Henan,2025.02.08.08,104888.6189611066
Hubei,2025.02.08.08,54825.4686290842
Hunan,2025.02.08.08,51100.8059369844
Jiangsu,2025.02.08.08,138086.8796781182
Jiangxi,2025.02.08.08,24232.046452391
Jilin,2025.02.08.08,28157.5388178726
Liaoning,2025.02.08.08,77437.2261303438
Ningxia,2025.02.08.08,23547.4169002102
Qinghai,2025.02.08.08,20874.6602352506
Shaanxi,2025.02.08.08,37901.3869021212
Shandong,2025.02.08.08,142237.7623034434
Shanghai,2025.02.08.08,48520.9420730692
Shanxi,2025.02.08.08,72526.2776151762
Sichuan,2025.02.08.08,52790.036144249
Tianjin,2025.02.08.08,30148.0294016244
Tibet,2025.02.08.08,1050.58719734415
West_Inner_Mongolia,2025.02.08.08,58955.8565986904
Xinjiang,2025.02.08.08,40193.7473383124
Yunnan,2025.02.08.08,32299.5270747754
Zhejiang,2025.02.08.08,87275.189511032
Anhui,2025.02.08.12,50770.332088831
Beijing,2025.02.08.12,35670.4005296812
Chongqing,2025.02.08.12,30545.5799165422
East_Inner_Mongolia,2025.02.08.12,23672.0576863766
Fujian,2025.02.08.12,48879.1217360346
Gansu,2025.02.08.12,38670.3485930116
Guangdong,2025.02.08.12,111363.9592852424
Guangxi,2025.02.08.12,45005.779420114
Guizhou,2025.02.08.12,47440.3041242172
Hainan,2025.02.08.12,7599.13327024904
Hebei,2025.02.08.12,165350.474003628
Heilongjiang,2025.02.08.12,35287.8953541854
Henan,2025.02.08.12,126602.7688284062
Hubei,2025.02.08.12,64526.8303010396
Hunan,2025.02.08.12,63888.6799814756
Jiangsu,2025.02.08.12,159757.514287459
Jiangxi,2025.02.08.12,29057.6065488206
Jilin,2025.02.08.12,29773.0589545088
Liaoning,2025.02.08.12,81211.5906566198
Ningxia,2025.02.08.12,23833.3945707274
Qinghai,2025.02.08.12,20601.2576484158
Shaanxi,2025.02.08.12,48236.5743222046
Shandong,2025.02.08.12,155789.101713572
Shanghai,2025.02.08.12,59672.7925002756
Shanxi,2025.02.08.12,81690.4122792838
Sichuan,2025.02.08.12,75192.5735792466
Tianjin,2025.02.08.12,31438.0177718486
Tibet,2025.02.08.12,1219.126979648656
West_Inner_Mongolia,2025.02.08.12,61276.1835856622
Xinjiang,2025.02.08.12,42679.2629315826
Yunnan,2025.02.08.12,36769.9427337746
Zhejiang,2025.02.08.12,94544.7460802792
Anhui,2025.02.08.16,51838.4302586936
