GENERATION_PROJECT,gen_dbid,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_baseload,gen_can_provide_spinning_reserves,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_min_load_fraction,gen_capacity_limit_mw,gen_min_build_capacity,variable_gen_cost,gen_is_distributed
Guizhou-Hydro_Nonpumped-2022,existing.9-4,Water,Guizhou,100,False,False,False,.,0.0,0,0.09,0.05,0.0,22820.0,0,0.0,False
Guizhou-PV-2022,existing.9-6,Solar,Guizhou,20,True,False,False,.,0.0,0,0.0,0.02,0.0,240.0,0,0.0,True
Guizhou-Wind-2022,existing.9-7,Wind,Guizhou,30,True,False,False,.,2.8,0,0.02,0.02,0.0,5920.0,0,0.0,False
Hainan-Central_PV-2022,existing.10-1,Solar,Hainan,20,True,False,False,.,0.0,0,0.0,0.02,0.0,2000.0,0,0.0,False
Hainan-Coal-2022,existing.10-2,Coal,Hainan,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,3240.0,0,0.0,False
Hainan-Gas-2022,existing.10-3,Gas,Hainan,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,3570.0,0,0.0,False
Hainan-Hydro_Nonpumped-2022,existing.10-4,Water,Hainan,100,False,False,False,.,0.0,0,0.09,0.05,0.0,1530.0,0,0.0,False
Hainan-Nuclear-2022,existing.10-5,Uranium,Hainan,40,False,True,False,10.4,3.0,0,0.11,0.03,0.5,1300.0,0,0.0,False
Hainan-PV-2022,existing.10-6,Solar,Hainan,20,True,False,False,.,0.0,0,0.0,0.02,0.0,460.0,0,0.0,True
Hainan-Wind-2022,existing.10-7,Wind,Hainan,30,True,False,False,.,2.8,0,0.02,0.02,0.0,290.0,0,0.0,False
Hebei-Central_PV-2022,existing.11-1,Solar,Hebei,20,True,False,False,.,0.0,0,0.0,0.02,0.0,19940.0,0,0.0,False
Hebei-Coal-2022,existing.11-2,Coal,Hebei,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,48350.0,0,0.0,False
Hebei-Gas-2022,existing.11-3,Gas,Hebei,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,940.0,0,0.0,False
Hebei-Hydro_Nonpumped-2022,existing.11-4,Water,Hebei,100,False,False,False,.,0.0,0,0.09,0.05,0.0,3930.0,0,0.0,False
Hebei-PV-2022,existing.11-6,Solar,Hebei,20,True,False,False,.,0.0,0,0.0,0.02,0.0,18610.0,0,0.0,True
Hebei-Wind-2022,existing.11-7,Wind,Hebei,30,True,False,False,.,2.8,0,0.02,0.02,0.0,27970.0,0,0.0,False
Heilongjiang-Central_PV-2022,existing.12-1,Solar,Heilongjiang,20,True,False,False,.,0.0,0,0.0,0.02,0.0,3670.0,0,0.0,False
Heilongjiang-Coal-2022,existing.12-2,Coal,Heilongjiang,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,22050.0,0,0.0,False
Heilongjiang-Gas-2022,existing.12-3,Gas,Heilongjiang,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,150.0,0,0.0,False
Heilongjiang-Hydro_Nonpumped-2022,existing.12-4,Water,Heilongjiang,100,False,False,False,.,0.0,0,0.09,0.05,0.0,2300.0,0,0.0,False
Heilongjiang-PV-2022,existing.12-6,Solar,Heilongjiang,20,True,False,False,.,0.0,0,0.0,0.02,0.0,1080.0,0,0.0,True
Heilongjiang-Wind-2022,existing.12-7,Wind,Heilongjiang,30,True,False,False,.,2.8,0,0.02,0.02,0.0,9430.0,0,0.0,False
Henan-Central_PV-2022,existing.13-1,Solar,Henan,20,True,False,False,.,0.0,0,0.0,0.02,0.0,6290.0,0,0.0,False
Henan-Coal-2022,existing.13-2,Coal,Henan,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,65490.0,0,0.0,False
Henan-Gas-2022,existing.13-3,Gas,Henan,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,3400.0,0,0.0,False
Henan-Hydro_Nonpumped-2022,existing.13-4,Water,Henan,100,False,False,False,.,0.0,0,0.09,0.05,0.0,4390.0,0,0.0,False
Henan-PV-2022,existing.13-6,Solar,Henan,20,True,False,False,.,0.0,0,0.0,0.02,0.0,17040.0,0,0.0,True
Henan-Wind-2022,existing.13-7,Wind,Henan,30,True,False,False,.,2.8,0,0.02,0.02,0.0,19030.0,0,0.0,False
Hubei-Central_PV-2022,existing.14-1,Solar,Hubei,20,True,False,False,.,0.0,0,0.0,0.02,0.0,9760.0,0,0.0,False
Hubei-Coal-2022,existing.14-2,Coal,Hubei,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,30220.0,0,0.0,False
Hubei-Gas-2022,existing.14-3,Gas,Hubei,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,1370.0,0,0.0,False
Hubei-Hydro_Nonpumped-2022,existing.14-4,Water,Hubei,100,False,False,False,.,0.0,0,0.09,0.05,0.0,37800.0,0,0.0,False
Hubei-PV-2022,existing.14-6,Solar,Hubei,20,True,False,False,.,0.0,0,0.0,0.02,0.0,3400.0,0,0.0,True
Hubei-Wind-2022,existing.14-7,Wind,Hubei,30,True,False,False,.,2.8,0,0.02,0.02,0.0,7780.0,0,0.0,False
Hunan-Central_PV-2022,existing.15-1,Solar,Hunan,20,True,False,False,.,0.0,0,0.0,0.02,0.0,2860.0,0,0.0,False
Hunan-Coal-2022,existing.15-2,Coal,Hunan,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,22830.0,0,0.0,False
Hunan-Gas-2022,existing.15-3,Gas,Hunan,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,100.0,0,0.0,False
Hunan-Hydro_Nonpumped-2022,existing.15-4,Water,Hunan,100,False,False,False,.,0.0,0,0.09,0.05,0.0,15870.0,0,0.0,False
Hunan-PV-2022,existing.15-6,Solar,Hunan,20,True,False,False,.,0.0,0,0.0,0.02,0.0,3500.0,0,0.0,True
Hunan-Wind-2022,existing.15-7,Wind,Hunan,30,True,False,False,.,2.8,0,0.02,0.02,0.0,9000.0,0,0.0,False
Jiangsu-Central_PV-2022,existing.16-1,Solar,Jiangsu,20,True,False,False,.,0.0,0,0.0,0.02,0.0,9530.0,0,0.0,False
Jiangsu-Coal-2022,existing.16-2,Coal,Jiangsu,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,78920.0,0,0.0,False
Jiangsu-Gas-2022,existing.16-3,Gas,Jiangsu,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,19740.0,0,0.0,False
Jiangsu-Hydro_Nonpumped-2022,existing.16-4,Water,Jiangsu,100,False,False,False,.,0.0,0,0.09,0.05,0.0,2650.0,0,0.0,False
Jiangsu-Nuclear-2022,existing.16-5,Uranium,Jiangsu,40,False,True,False,10.4,3.0,0,0.11,0.03,0.5,6610.0,0,0.0,False
Jiangsu-PV-2022,existing.16-6,Solar,Jiangsu,20,True,False,False,.,0.0,0,0.0,0.02,0.0,15550.0,0,0.0,True
Jiangsu-Wind-2022,existing.16-7,Wind,Jiangsu,30,True,False,False,.,2.8,0,0.02,0.02,0.0,22540.0,0,0.0,False
Jiangxi-Central_PV-2022,existing.17-1,Solar,Jiangxi,20,True,False,False,.,0.0,0,0.0,0.02,0.0,6950.0,0,0.0,False
Jiangxi-Coal-2022,existing.17-2,Coal,Jiangxi,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,25490.0,0,0.0,False
Jiangxi-Gas-2022,existing.17-3,Gas,Jiangxi,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,150.0,0,0.0,False
Jiangxi-Hydro_Nonpumped-2022,existing.17-4,Water,Jiangxi,100,False,False,False,.,0.0,0,0.09,0.05,0.0,6860.0,0,0.0,False
Jiangxi-PV-2022,existing.17-6,Solar,Jiangxi,20,True,False,False,.,0.0,0,0.0,0.02,0.0,5070.0,0,0.0,True
Jiangxi-Wind-2022,existing.17-7,Wind,Jiangxi,30,True,False,False,.,2.8,0,0.02,0.02,0.0,5550.0,0,0.0,False
Jilin-Central_PV-2022,existing.18-1,Solar,Jilin,20,True,False,False,.,0.0,0,0.0,0.02,0.0,2950.0,0,0.0,False
Jilin-Coal-2022,existing.18-2,Coal,Jilin,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,17050.0,0,0.0,False
Jilin-Gas-2022,existing.18-3,Gas,Jilin,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,20.0,0,0.0,False
Jilin-Hydro_Nonpumped-2022,existing.18-4,Water,Jilin,100,False,False,False,.,0.0,0,0.09,0.05,0.0,6460.0,0,0.0,False
Jilin-PV-2022,existing.18-6,Solar,Jilin,20,True,False,False,.,0.0,0,0.0,0.02,0.0,920.0,0,0.0,True
Jilin-Wind-2022,existing.18-7,Wind,Jilin,30,True,False,False,.,2.8,0,0.02,0.02,0.0,11430.0,0,0.0,False
Liaoning-Central_PV-2022,existing.19-1,Solar,Liaoning,20,True,False,False,.,0.0,0,0.0,0.02,0.0,3810.0,0,0.0,False
Liaoning-Coal-2022,existing.19-2,Coal,Liaoning,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,35130.0,0,0.0,False
Liaoning-Gas-2022,existing.19-3,Gas,Liaoning,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,30.0,0,0.0,False
Liaoning-Hydro_Nonpumped-2022,existing.19-4,Water,Liaoning,100,False,False,False,.,0.0,0,0.09,0.05,0.0,3050.0,0,0.0,False
Liaoning-Nuclear-2022,existing.19-5,Uranium,Liaoning,40,False,True,False,10.4,3.0,0,0.11,0.03,0.5,6680.0,0,0.0,False
Liaoning-PV-2022,existing.19-6,Solar,Liaoning,20,True,False,False,.,0.0,0,0.0,0.02,0.0,2190.0,0,0.0,True
Liaoning-Wind-2022,existing.19-7,Wind,Liaoning,30,True,False,False,.,2.8,0,0.02,0.02,0.0,11730.0,0,0.0,False
Ningxia-Central_PV-2022,existing.20-1,Solar,Ningxia,20,True,False,False,.,0.0,0,0.0,0.02,0.0,14920.0,0,0.0,False
Ningxia-Coal-2022,existing.20-2,Coal,Ningxia,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,30700.0,0,0.0,False
Ningxia-Gas-2022,existing.20-3,Gas,Ningxia,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,530.0,0,0.0,False
Ningxia-Hydro_Nonpumped-2022,existing.20-4,Water,Ningxia,100,False,False,False,.,0.0,0,0.09,0.05,0.0,430.0,0,0.0,False
Ningxia-PV-2022,existing.20-6,Solar,Ningxia,20,True,False,False,.,0.0,0,0.0,0.02,0.0,920.0,0,0.0,True
Ningxia-Wind-2022,existing.20-7,Wind,Ningxia,30,True,False,False,.,2.8,0,0.02,0.02,0.0,14570.0,0,0.0,False
Qinghai-Central_PV-2022,existing.21-1,Solar,Qinghai,20,True,False,False,.,0.0,0,0.0,0.02,0.0,18060.0,0,0.0,False
Qinghai-Coal-2022,existing.21-2,Coal,Qinghai,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,3710.0,0,0.0,False
Qinghai-Gas-2022,existing.21-3,Gas,Qinghai,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,10.0,0,0.0,False
Qinghai-Hydro_Nonpumped-2022,existing.21-4,Water,Qinghai,100,False,False,False,.,0.0,0,0.09,0.05,0.0,12610.0,0,0.0,False
Qinghai-PV-2022,existing.21-6,Solar,Qinghai,20,True,False,False,.,0.0,0,0.0,0.02,0.0,160.0,0,0.0,True
Qinghai-Wind-2022,existing.21-7,Wind,Qinghai,30,True,False,False,.,2.8,0,0.02,0.02,0.0,9720.0,0,0.0,False
Shaanxi-Central_PV-2022,existing.22-1,Solar,Shaanxi,20,True,False,False,.,0.0,0,0.0,0.02,0.0,11940.0,0,0.0,False
