,timeseries,hydro_min_flow_mw,hydro_avg_flow_mw
Guizhou-Hydro_Nonpumped-2022,2025.02.08,1423.0735076448796,2846.147015289759
Guizhou-Hydro_Nonpumped-2022,2025.03.21,1499.3095739171854,2998.619147834367
Guizhou-Hydro_Nonpumped-2022,2025.04.11,2109.1982289703265,4218.396457940653
Guizhou-Hydro_Nonpumped-2022,2025.05.22,3506.8596728995376,7013.719345799092
Guizhou-Hydro_Nonpumped-2022,2025.06.16,6480.066819455578,12960.133638911157
Guizhou-Hydro_Nonpumped-2022,2025.07.22,10816.68,21633.36
Guizhou-Hydro_Nonpumped-2022,2025.08.19,10816.68,21633.36
Guizhou-Hydro_Nonpumped-2022,2025.09.20,10368.106886154015,20736.21377230799
Guizhou-Hydro_Nonpumped-2022,2025.10.26,7039.131409514726,14078.262819029493
Guizhou-Hydro_Nonpumped-2022,2025.11.19,3684.743869159814,7369.4877383196435
Guizhou-Hydro_Nonpumped-2022,2025.12.16,2185.4342952426287,4370.868590485274
Hainan-Hydro_Nonpumped-2022,2025.01.22,90.54694443215708,181.09388886431415
Hainan-Hydro_Nonpumped-2022,2025.02.08,95.47679250362557,190.9535850072516
Hainan-Hydro_Nonpumped-2022,2025.03.21,124.9934741448239,249.9869482896478
Hainan-Hydro_Nonpumped-2022,2025.04.11,224.9632915573282,449.9265831146552
Hainan-Hydro_Nonpumped-2022,2025.05.22,430.01998669974245,860.0399733994859
Hainan-Hydro_Nonpumped-2022,2025.06.16,705.0305917217098,1410.061183443422
Hainan-Hydro_Nonpumped-2022,2025.07.22,725.22,1450.44
Hainan-Hydro_Nonpumped-2022,2025.08.19,665.0301825874958,1330.0603651749936
Hainan-Hydro_Nonpumped-2022,2025.09.20,417.9761828607539,835.952365721509
Hainan-Hydro_Nonpumped-2022,2025.10.26,250.4861741814008,500.9723483628016
Hainan-Hydro_Nonpumped-2022,2025.11.19,177.9737321139193,355.9474642278386
Hainan-Hydro_Nonpumped-2022,2025.12.16,110.95277079727302,221.9055415945465
Hebei-Hydro_Nonpumped-2022,2025.01.22,247.63127311496444,495.2625462299289
Hebei-Hydro_Nonpumped-2022,2025.02.08,224.70244838657706,449.4048967731546
Hebei-Hydro_Nonpumped-2022,2025.03.21,204.0665113993833,408.1330227987662
