ELECRRIC_VEHICLE_TIMEPOINTS_1,ELECRRIC_VEHICLE_TIMEPOINTS_2,StateOfChargeOfEV
Hubei-Ev,2025.02.08.04,5886.1817280000005
Hubei-Ev,2025.02.08.08,5895.9603592
Hubei-Ev,2025.02.08.12,6216.4381712
Hubei-Ev,2025.02.08.16,5542.544000000001
Hubei-Ev,2025.02.08.20,5542.544000000001
Hubei-Ev,2025.03.21.00,7241.4525048000005
Hubei-Ev,2025.03.21.04,7623.0962488000005
Hubei-Ev,2025.03.21.08,5542.544000000001
Hubei-Ev,2025.03.21.12,6472.701652000001
Hubei-Ev,2025.03.21.16,5542.544000000001
Hubei-Ev,2025.03.21.20,5542.544000000001
Hubei-Ev,2025.04.11.00,6093.354104800002
Hubei-Ev,2025.04.11.04,6055.348088800001
Hubei-Ev,2025.04.11.08,5542.544000000001
Hubei-Ev,2025.04.11.12,5863.021812000001
Hubei-Ev,2025.04.11.16,6696.9767360000005
Hubei-Ev,2025.04.11.20,5542.544000000001
Hubei-Ev,2025.05.22.00,7521.746872800002
Hubei-Ev,2025.05.22.04,7884.3876088000015
Hubei-Ev,2025.05.22.08,5542.544000000001
Hubei-Ev,2025.05.22.12,5984.957780000001
Hubei-Ev,2025.05.22.16,6825.247040000001
Hubei-Ev,2025.05.22.20,5542.544000000001
Hubei-Ev,2025.06.16.00,7874.292260800001
Hubei-Ev,2025.06.16.04,8260.6867568
Hubei-Ev,2025.06.16.08,6180.134508000001
Hubei-Ev,2025.06.16.12,7110.292160000001
Hubei-Ev,2025.06.16.16,5542.544000000001
Hubei-Ev,2025.06.16.20,7874.292260800001
Hubei-Ev,2025.07.22.00,9795.9082808
Hubei-Ev,2025.07.22.04,10177.552024800001
Hubei-Ev,2025.07.22.08,8096.999776000001
Hubei-Ev,2025.07.22.12,6999.576064000001
Hubei-Ev,2025.07.22.16,6825.304604000001
Hubei-Ev,2025.07.22.20,5542.544000000001
Hubei-Ev,2025.08.19.00,7605.822918808001
Hubei-Ev,2025.08.19.04,7996.968166808001
Hubei-Ev,2025.08.19.08,7484.164078008001
Hubei-Ev,2025.08.19.12,6752.536960004
Hubei-Ev,2025.08.19.16,6055.682780004
Hubei-Ev,2025.08.19.20,5542.544000000001
Hubei-Ev,2025.09.20.00,7931.301284800001
Hubei-Ev,2025.09.20.04,8293.942020800001
Hubei-Ev,2025.09.20.08,7519.846572000001
Hubei-Ev,2025.09.20.12,7962.260352000001
Hubei-Ev,2025.09.20.16,6568.706432000001
Hubei-Ev,2025.09.20.20,5542.544000000001
Hubei-Ev,2025.10.26.00,8164.6819768000005
Hubei-Ev,2025.10.26.04,8145.678968800001
Hubei-Ev,2025.10.26.08,5542.544000000001
Hubei-Ev,2025.10.26.12,5716.738240000001
Hubei-Ev,2025.10.26.16,5542.544000000001
Hubei-Ev,2025.10.26.20,5542.544000000001
Hubei-Ev,2025.11.19.00,6495.584440800001
Hubei-Ev,2025.11.19.04,6839.222168800001
Hubei-Ev,2025.11.19.08,5542.544000000001
Hubei-Ev,2025.11.19.12,5542.544000000001
Hubei-Ev,2025.11.19.16,5542.544000000001
Hubei-Ev,2025.11.19.20,5542.544000000001
Hubei-Ev,2025.12.16.00,7754.533720800001
Hubei-Ev,2025.12.16.04,8145.678968800001
Hubei-Ev,2025.12.16.08,5542.544000000001
Hubei-Ev,2025.12.16.12,5542.544000000001
Hubei-Ev,2025.12.16.16,5542.544000000001
Hubei-Ev,2025.12.16.20,7779.871064800001
Hunan-Ev,2025.01.22.00,5081.874
Hunan-Ev,2025.01.22.04,5081.874
Hunan-Ev,2025.01.22.08,5081.874
Hunan-Ev,2025.01.22.12,5934.7213544999995
Hunan-Ev,2025.01.22.16,6257.96484
Hunan-Ev,2025.01.22.20,5081.874
Hunan-Ev,2025.02.08.00,5723.715708652659
Hunan-Ev,2025.02.08.04,6040.1702399999995
Hunan-Ev,2025.02.08.08,5081.874
Hunan-Ev,2025.02.08.12,5081.874
Hunan-Ev,2025.02.08.16,6923.037972652658
Hunan-Ev,2025.02.08.20,5746.947132652658
Hunan-Ev,2025.03.21.00,5081.874
Hunan-Ev,2025.03.21.04,5081.874
Hunan-Ev,2025.03.21.08,5081.874
Hunan-Ev,2025.03.21.12,5081.874
Hunan-Ev,2025.03.21.16,5822.37564
Hunan-Ev,2025.03.21.20,5116.721136
Hunan-Ev,2025.04.11.00,7136.1489663
Hunan-Ev,2025.04.11.04,7468.6487222999995
Hunan-Ev,2025.04.11.08,5081.874
Hunan-Ev,2025.04.11.12,5081.874
Hunan-Ev,2025.04.11.16,6257.96484
Hunan-Ev,2025.04.11.20,5081.874
Hunan-Ev,2025.05.22.00,6408.7150023
Hunan-Ev,2025.05.22.04,6749.9265423
Hunan-Ev,2025.05.22.08,5081.874
Hunan-Ev,2025.05.22.12,5281.934339717269
Hunan-Ev,2025.05.22.16,5199.4830839999995
Hunan-Ev,2025.05.22.20,5081.874
Hunan-Ev,2025.06.16.00,6639.5772783
Hunan-Ev,2025.06.16.04,6989.5006023
Hunan-Ev,2025.06.16.08,5081.874
Hunan-Ev,2025.06.16.12,5599.3176705
Hunan-Ev,2025.06.16.16,5905.137588
Hunan-Ev,2025.06.16.20,5081.874
Hunan-Ev,2025.07.22.00,7609.1988375
Hunan-Ev,2025.07.22.04,7596.1311615
Hunan-Ev,2025.07.22.08,6637.834921500001
Hunan-Ev,2025.07.22.12,7267.079820000001
Hunan-Ev,2025.07.22.16,5669.91942
Hunan-Ev,2025.07.22.20,5081.874
Hunan-Ev,2025.08.19.00,5942.6345583
Hunan-Ev,2025.08.19.04,6270.7784223
Hunan-Ev,2025.08.19.08,5081.874
Hunan-Ev,2025.08.19.12,5606.5450329650175
Hunan-Ev,2025.08.19.16,12752.657376
Hunan-Ev,2025.08.19.20,5081.874
Hunan-Ev,2025.09.20.00,6562.87728
Hunan-Ev,2025.09.20.04,6519.318359999999
Hunan-Ev,2025.09.20.08,5081.874
Hunan-Ev,2025.09.20.12,5081.874
Hunan-Ev,2025.09.20.16,7762.199543999999
Hunan-Ev,2025.09.20.20,6586.108703999999
Hunan-Ev,2025.10.26.00,6780.67188
Hunan-Ev,2025.10.26.04,6758.89242
Hunan-Ev,2025.10.26.08,5081.874
Hunan-Ev,2025.10.26.12,5081.874
Hunan-Ev,2025.10.26.16,5081.874
Hunan-Ev,2025.10.26.20,5081.874
Hunan-Ev,2025.11.19.00,5219.5564863
Hunan-Ev,2025.11.19.04,5552.056242299999
Hunan-Ev,2025.11.19.08,5081.874
Hunan-Ev,2025.11.19.12,5618.8465863
