GEN_TPS_1,GEN_TPS_2,DispatchGen
Anhui-Coal-2022,2025.05.22.20,29783.07428905603
Anhui-Coal-2022,2025.06.16.00,28826.15199842747
Anhui-Coal-2022,2025.06.16.04,19527.393289257318
Anhui-Coal-2022,2025.06.16.08,13228.23416369044
Anhui-Coal-2022,2025.06.16.12,23446.434163690443
Anhui-Coal-2022,2025.06.16.16,33664.63416369044
Anhui-Coal-2022,2025.06.16.20,39044.351998427475
Anhui-Coal-2022,2025.07.22.00,34440.80853419269
Anhui-Coal-2022,2025.07.22.04,24222.608534192692
Anhui-Coal-2022,2025.07.22.08,29678.017789045793
Anhui-Coal-2022,2025.07.22.12,32750.8772810012
Anhui-Coal-2022,2025.07.22.16,37673.17164451966
Anhui-Coal-2022,2025.07.22.20,42862.20997661276
Anhui-Coal-2022,2025.08.19.00,37900.55166648371
Anhui-Coal-2022,2025.08.19.04,29610.22453695311
Anhui-Coal-2022,2025.08.19.08,33100.38290247905
Anhui-Coal-2022,2025.08.19.12,37661.51783221924
Anhui-Coal-2022,2025.08.19.16,47076.89729027404
Anhui-Coal-2022,2025.08.19.20,43046.80248501322
Anhui-Coal-2022,2025.09.20.00,28507.33795134428
Anhui-Coal-2022,2025.09.20.04,19311.422483168706
Anhui-Coal-2022,2025.09.20.08,16975.55367126356
Anhui-Coal-2022,2025.09.20.12,26282.728816374103
Anhui-Coal-2022,2025.09.20.16,32853.411020467625
Anhui-Coal-2022,2025.09.20.20,38725.53795134428
Anhui-Coal-2022,2025.10.26.00,27839.966681081874
Anhui-Coal-2022,2025.10.26.04,19648.56091337343
Anhui-Coal-2022,2025.10.26.08,13310.315457446515
Anhui-Coal-2022,2025.10.26.12,21020.615604830647
Anhui-Coal-2022,2025.10.26.16,31238.81560483065
Anhui-Coal-2022,2025.10.26.20,35875.858930047216
Anhui-Coal-2022,2025.11.19.00,37662.78353613771
Anhui-Coal-2022,2025.11.19.04,31385.652946781425
Anhui-Coal-2022,2025.11.19.08,30445.584629036006
Anhui-Coal-2022,2025.11.19.12,34573.600059802106
Anhui-Coal-2022,2025.11.19.16,42227.51151803207
Anhui-Coal-2022,2025.11.19.20,40773.93324942564
Anhui-Coal-2022,2025.12.16.00,43223.70555576636
Anhui-Coal-2022,2025.12.16.04,35685.57937653048
Anhui-Coal-2022,2025.12.16.08,31721.40221554639
Anhui-Coal-2022,2025.12.16.12,32064.543771713626
Anhui-Coal-2022,2025.12.16.16,42282.74377171363
Anhui-Coal-2022,2025.12.16.20,47756.06300881465
Anhui-Gas-2022,2025.01.22.00,0.0
Anhui-Gas-2022,2025.01.22.04,0.0
Anhui-Gas-2022,2025.01.22.08,0.0
Anhui-Gas-2022,2025.01.22.12,0.0
Anhui-Gas-2022,2025.01.22.16,0.0
Anhui-Gas-2022,2025.01.22.20,0.0
Anhui-Gas-2022,2025.02.08.00,0.0
Anhui-Gas-2022,2025.02.08.04,0.0
Anhui-Gas-2022,2025.02.08.08,0.0
Anhui-Gas-2022,2025.02.08.12,0.0
Anhui-Gas-2022,2025.02.08.16,0.0
Anhui-Gas-2022,2025.02.08.20,0.0
Anhui-Gas-2022,2025.03.21.00,0.0
Anhui-Gas-2022,2025.03.21.04,0.0
Anhui-Gas-2022,2025.03.21.08,0.0
Anhui-Gas-2022,2025.03.21.12,0.0
Anhui-Gas-2022,2025.03.21.16,0.0
Anhui-Gas-2022,2025.03.21.20,0.0
Anhui-Gas-2022,2025.04.11.00,0.0
Anhui-Gas-2022,2025.04.11.04,0.0
Anhui-Gas-2022,2025.04.11.08,0.0
Anhui-Gas-2022,2025.04.11.12,0.0
Anhui-Gas-2022,2025.04.11.16,0.0
Anhui-Gas-2022,2025.04.11.20,0.0
Anhui-Gas-2022,2025.05.22.00,0.0
Anhui-Gas-2022,2025.05.22.04,0.0
