GEN_BLD_YRS_1,GEN_BLD_YRS_2,BuildGen
Qinghai-Gas-2023,2023,0.0
Qinghai-Nuclear-2023,2023,0.0
Qinghai-PV-2023,2023,0.0
Qinghai-Wind-2023,2023,0.0
Shaanxi-Central_PV-2023,2023,0.0
Shaanxi-Coal-2023,2023,0.0
Shaanxi-Gas-2023,2023,0.0
Shaanxi-Nuclear-2023,2023,0.0
Shaanxi-PV-2023,2023,0.0
Shaanxi-Wind-2023,2023,0.0
Shandong-Central_PV-2023,2023,0.0
Shandong-Coal-2023,2023,0.0
Shandong-Gas-2023,2023,0.0
Shandong-Nuclear-2023,2023,2527.0
Shandong-PV-2023,2023,0.0
Shandong-Wind-2023,2023,0.0
Shanghai-Central_PV-2023,2023,17967.01259546529
Shanghai-Coal-2023,2023,2491.093587698497
Shanghai-Gas-2023,2023,0.0
Shanghai-Nuclear-2023,2023,7613.000000000004
Shanghai-PV-2023,2023,0.0
Shanghai-Wind-2023,2023,0.0
Shanxi-Central_PV-2023,2023,0.0
Shanxi-Coal-2023,2023,0.0
Shanxi-Gas-2023,2023,0.0
Shanxi-Nuclear-2023,2023,0.0
Shanxi-PV-2023,2023,0.0
Shanxi-Wind-2023,2023,0.0
Sichuan-Central_PV-2023,2023,0.0
Sichuan-Coal-2023,2023,0.0
Sichuan-Gas-2023,2023,0.0
Sichuan-Nuclear-2023,2023,0.0
Sichuan-PV-2023,2023,0.0
Sichuan-Wind-2023,2023,155630.50626984204
Tianjin-Central_PV-2023,2023,1332.8210681164974
Tianjin-Coal-2023,2023,0.0
Tianjin-Gas-2023,2023,0.0
Tianjin-Nuclear-2023,2023,0.0
Tianjin-PV-2023,2023,0.0
Tianjin-Wind-2023,2023,0.0
Tibet-Central_PV-2023,2023,0.0
Tibet-Nuclear-2023,2023,0.0
Tibet-PV-2023,2023,0.0
Tibet-Wind-2023,2023,0.0
West_Inner_Mongolia-Central_PV-2023,2023,0.0
West_Inner_Mongolia-Coal-2023,2023,0.0
West_Inner_Mongolia-Gas-2023,2023,0.0
West_Inner_Mongolia-Nuclear-2023,2023,0.0
West_Inner_Mongolia-PV-2023,2023,0.0
West_Inner_Mongolia-Wind-2023,2023,0.0
Xinjiang-Central_PV-2023,2023,0.0
Xinjiang-Coal-2023,2023,0.0
Xinjiang-Gas-2023,2023,0.0
Xinjiang-Nuclear-2023,2023,0.0
Xinjiang-PV-2023,2023,0.0
Xinjiang-Wind-2023,2023,0.0
Yunnan-Central_PV-2023,2023,66730.14035430853
Yunnan-Coal-2023,2023,0.0
Yunnan-Gas-2023,2023,0.0
Yunnan-Nuclear-2023,2023,0.0
Yunnan-PV-2023,2023,0.0
Yunnan-Wind-2023,2023,0.0
Zhejiang-Central_PV-2023,2023,0.0
Zhejiang-Coal-2023,2023,0.0
Zhejiang-Gas-2023,2023,0.0
Zhejiang-Nuclear-2023,2023,0.0
Zhejiang-PV-2023,2023,0.0
Zhejiang-Wind-2023,2023,0.0
